NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
168,Rumah Termurah di Tebet Barat Jakarta Selatan,"0,0242","0,0818","0,0267","0,2500","0,3333","0,1111"
169,Rumah Baru di Tebet Barat Jakarta Selatan,"0,0359","0,0536","0,0267","0,3750","0,3333","0,1111"
170,TEBET Rumah Siap Huni Desain Rumah Rumah Bagus dan Nyaman,"0,0328","0,1289","0,0267","0,1250","0,2222","0,0000"
171,TEBET BARAT Rumah Siap Huni Lokasi Premium Jalan Tiga Mobil,"0,0773","0,1477","0,1085","0,3750","0,3333","0,0000"
172,TEBET Rumah Siap Huni Lokasi Sangat Bagus Aman dan Nyaman JARANG ADA,"0,0797","0,1759","0,1114","0,3750","0,2222","0,1111"
173,TEBET Rumah Baru Siap Huni Lokasi Premium Nyaman Untuk Tempat Tinggal,"0,0344","0,0818","0,0245","0,2500","0,2222","0,1111"
174,TEBET Rumah Siap Huni Kondisi Relatif Baru,"0,0234","0,0724","0,0178","0,2500","0,2222","0,0000"
175,Brand New Townhouse Mewah Di Dekat Patra Kuningan,"0,1797","0,5052","0,1144","0,2500","0,4444","0,3333"
176,"Rumah Besar,Siap Huni Di Tebet Jakarta Selatan","0,1094","0,0837","0,1308","0,1250","0,2222","0,0000"
177,Rumah Lama Hitung Tanah Supomo Tebet Jakarta Selatan,"0,1250","0,1289","0,1308","0,5000","0,2222","0,1111"
178,Di Jual Di Bawah Harga Pasaran Rumah Siap Huni Di Tebet Timur Jaksel,"0,0469","0,1101","0,0750","0,2500","0,2222","0,1111"
179,Dijual rumah di tebet jakarta selatan strategis dekat jl. mt. haryono,"0,0430","0,1289","0,0602","0,3750","0,2222","0,2222"
180,Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,"0,3281","0,9567","0,4198","0,6250","0,5556","0,3333"
181,Rumah murah asem baris,"0,0172","0,0913","0,0490","0,5000","0,2222","0,0000"
182,Rumah tebet,"0,1203","0,0913","0,1538","0,2500","0,3333","0,1111"
183,Di Jual Rumah Cantik di TEBET,"0,0391","0,1618","0,0639","0,3750","0,3333","0,0000"
184,"Rumah pinggir jalan, Asem baris , Tebet , Jakarta Selatan","0,0703","0,1007","0,1605","0,5000","0,2222","0,0000"
185,Dijual rumah baru minimalis di Di Tebet Jakarta Selatan,"0,0391","0,0536","0,0238","0,3750","0,3333","0,0000"
186,"Rumah Onprogress 2,5 Lantai Di Asem Baris Tebet Dekat Station Cawang","0,0234","0,1289","0,0342","0,1250","0,2222","0,1111"
